df1_index,df2_index,Song Name (df1),Artist (df1),Song Name (df2),Artist (df2)
956,386,All The Above,Maino Featuring T-Pain,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
957,2337,I'm In Miami Trick,LMFAO,All About Us,He Is We
958,2337,It Happens,Sugarland,All About Us,He Is We
959,2337,Turn My Swag On,Soulja Boy Tell'em,All About Us,He Is We
960,2337,Kiss A Girl,Keith Urban,All About Us,He Is We
961,1791,Already Gone,Kelly Clarkson,Because of You,Kelly Clarkson
962,386,Whatever It Is,Zac Brown Band,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
963,386,Then,Brad Paisley,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
964,2337,Sideways,Dierks Bentley,All About Us,He Is We
965,2337,Best Days Of Your Life,Kellie Pickler,All About Us,He Is We
966,2337,Birthday Sex,Jeremih,All About Us,He Is We
967,2337,Out Last Night,Kenny Chesney,All About Us,He Is We
968,2337,People Are Crazy,Billy Currington,All About Us,He Is We
969,2337,Every Girl,Young Money,All About Us,He Is We
970,2337,Alright,Darius Rucker,All About Us,He Is We
971,2337,New Divide,Linkin Park,All About Us,He Is We
972,2337,Her Diamonds,Rob Thomas,All About Us,He Is We
973,2337,Ice Cream Paint Job,Dorrough,All About Us,He Is We
974,2337,Small Town USA,Justin Moore,All About Us,He Is We
975,2337,Big Green Tractor,Jason Aldean,All About Us,He Is We
976,2337,Never Say Never,The Fray,All About Us,He Is We
977,2337,You're A Jerk,New Boyz,All About Us,He Is We
978,1907,21 Guns,Green Day,21 Guns,Green Day
979,1133,Love Drunk,Boys Like Girls,Love It If We Made It,The 1975
980,2337,God In Me,"Mary Mary Featuring Kierra ""KiKi"" Sheard",All About Us,He Is We
981,2337,She Wolf,Shakira,All About Us,He Is We
982,1133,Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson,Love It If We Made It,The 1975
983,2337,Toes,Zac Brown Band,All About Us,He Is We
984,2337,Imma Star (Everywhere We Are),Jeremih,All About Us,He Is We
985,1636,Run This Town,"Jay-Z, Rihanna & Kanye West",If You Run,You Me At Six
986,2319,Hot N Cold,Katy Perry,Part Of Me,Katy Perry
987,2337,Let It Rock,Kevin Rudolf Featuring Lil Wayne,All About Us,He Is We
988,1879,Viva La Vida,Coldplay,Viva La Vida,Coldplay
989,2337,She Got Her Own,Ne-Yo Featuring Jamie Foxx & Fabolous,All About Us,He Is We
990,2337,Lucky,Jason Mraz & Colbie Caillat,All About Us,He Is We
991,2337,She's Country,Jason Aldean,All About Us,He Is We
992,2337,Ain't I,Yung L.A. Featuring Young Dro & T.I.,All About Us,He Is We
993,2337,If U Seek Amy,Britney Spears,All About Us,He Is We
994,1133,Only You Can Love Me This Way,Keith Urban,Love It If We Made It,The 1975
995,2337,Come Back To Me,David Cook,All About Us,He Is We
996,2337,Boots On,Randy Houser,All About Us,He Is We
997,2337,Sexy Chick,David Guetta Featuring Akon,All About Us,He Is We
998,2337,Smile,Uncle Kracker,All About Us,He Is We
999,2337,Single Ladies (Put A Ring On It),Beyonce,All About Us,He Is We
1000,1276,"Hey, Soul Sister",Train,"Hey, Soul Sister",Train
1001,2337,Need You Now,Lady Antebellum,All About Us,He Is We
1002,2337,Breakeven,The Script,All About Us,He Is We
1003,2136,In My Head,Jason Derulo,In My Head,Jason Derulo
1004,2337,Haven't Met You Yet,Michael Buble,All About Us,He Is We
1005,1599,I Like It,Enrique Iglesias Featuring Pitbull,Give Me Everything,Pitbull
1006,2337,Telephone,Lady Gaga Featuring Beyonce,All About Us,He Is We
1007,2337,Whataya Want From Me,Adam Lambert,All About Us,He Is We
1008,2337,OMG,Usher Featuring will.i.am,All About Us,He Is We
1009,2337,Airplanes,B.o.B Featuring Hayley Williams,All About Us,He Is We
