Year,Song Name,Artist,Number of Weeks On Top,Spotify ID
2001,Superwoman Pt. II,Lil' Mo Featuring Fabolous,22,3xYwc8Jjv47NbtnYGn8Bvt
2001,When It's Over,Sugar Ray,22,5ZsPy9wHH733NlU6c4v2Hi
2001,The Way You Love Me,Faith Hill,21,6vgN6KGstss0GnBbKlMNK9
2001,Crazy,K-Ci & JoJo,21,3PJivN5BZ2ckFa22igIu4a
2001,Stranger In My House,Tamia,21,08GOEVXupC6ECbulhPGQKm
2001,Love,Musiq Soulchild,21,7cNl9yAs9sScxAPIjM1fb4
2001,Fiesta,R. Kelly Featuring Jay-Z,21,1PCSazYG0lX5ltLk58EmGi
2001,She Couldn't Change Me,Montgomery Gentry,21,3zjLEJ6EPYJHZRtWGMhMSJ
2001,One Minute Man,"Missy ""Misdemeanor"" Elliott",21,0jG92AlXau21qgCQRxGLic
2001,Be Like That,3 Doors Down,21,3PbHle8KhJp6GuO1jLdEmQ
2001,Raise Up,Petey Pablo,21,02GwPAncasVL82yC7y2hmN
2001,After Party,Koffee Brown,20,5cvMzT7kEvcxcdtcJz1vQY
2001,One More Day,Diamond Rio,20,3TNoNv8Z80M3pfm6CcODsh
2001,Southern Hospitality,Ludacris,20,4cNhx6OO1XpvwT6xZnb83B
2001,Jaded,Aerosmith,20,6uhj7EIZZm3OwVr0gWfkQn
2001,Nobody Wants To Be Lonely,Ricky Martin Duet With Christina Aguilera,20,45cVyfWuMAg8RNxmkcpmy9
2001,Who I Am,Jessica Andrews,20,0rK4HCKzv2r1IXqKX3DKpq
2001,Breathless,The Corrs,20,5OQGeJ1ceykovrykZsGhqL
2001,Look At Us,Sarina Paris,20,42MVI9N0ikM6m8QgrC1nUu
2001,Never Had A Dream Come True,S Club 7,20,0fIG0HBRIjLRNDHAogtwSB
2001,"So Fresh, So Clean",OutKast,20,6glsMWIMIxQ4BedzLqGVi4
2001,Oochie Wally,QB Finest Featuring Nas & Bravehearts,20,3Icoi8x2T5qhwALbBdZsbH
2001,It's A Great Day To Be Alive,Travis Tritt,20,3oW6SWwGqiZSPTiAp7ZQoH
2001,Heard It All Before,Sunshine Anderson,20,0xikWgPgYN9BEes0ieZ8Co
2001,Yellow,Coldplay,20,3AJwUDP919kvQ9QcozQPxg
2001,Ain't Nothing 'Bout You,Brooks & Dunn,20,0R51yMOPP9LixmZgGmyWv5
2001,Don't Happen Twice,Kenny Chesney,20,04ccQGJ1i8gL7JoeCPiJbv
2001,Take It To Da House,Trick Daddy Featuring The SNS Express,20,1wLhwzPAtze5JT8qqXlqaO
2001,Survivor,Destiny's Child,20,2Mpj1Ul5OFPyyP4wB62Rvi
2001,Maybe I Deserve,Tank,20,4r1SIe42FjPFE4jUPdyK1A
2001,Grown Men Don't Cry,Tim McGraw,20,6HEE02sPOUv3UcAnoaSjgw
2001,Play,Jennifer Lopez,20,7fFCnttacpotkyhTOxKv14
2001,Right Where I Need To Be,Gary Allan,20,3hfMKCMfKcKctpjtH0TB76
2001,La Bomba,Azul Azul,20,0Tl84qfow6Dv0PM60zoBhb
2001,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk",20,0PSZ9G584Ve27GK6ThlY6P
2001,I Could Not Ask For More,Sara Evans,20,3TcoHf7nvC8RaDVdfIFjFR
2001,Mad Season,matchbox twenty,20,3jZHJO0QAb8sbv71DXOD9J
2001,I'm Already There,Lonestar,20,34Vn9nKfztyLco9lJazy4j
2001,Can't Believe,Faith Evans Featuring Carl Thomas,20,2423gyT9B3zNqC9ZD8QfSu
2001,This Is Me,Dream,20,1s8MNZEUhMRlCJiFzHCkTY
2001,Irresistible,Jessica Simpson,20,20NKCc2ag4FT1DLk0C2oT5
2001,There You'll Be,Faith Hill,20,5t2gSYVvBV9kH4t7Czertq
2001,More Than That,Backstreet Boys,20,4XRUKxDIn28c7uHEzbGFgj
2001,Austin,Blake Shelton,20,2WQAknZHrJAEQOFXe0F44P
2001,Music,Erick Sermon Featuring Marvin Gaye,20,6IFOw9Ck9mWHRQgw6QrPYx
2001,What I Really Meant To Say,Cyndi Thomson,20,2YhdP9Wq1yH2pshQ6sWnHo
2001,All Or Nothing,O-Town,20,7pbNNVcFePJV3Wani6zH8q
2001,Here's To The Night,Eve 6,20,4tgeQrPu5xkrnwErym2JsJ
2001,When I Think About Angels,Jamie O'Neal,20,6X1MOfJSjBT54VcbD1o7vR
2001,I Wanna Be Bad,Willa Ford,20,6f67kjvFmXZTA47K8JNVBU
2001,Where The Blacktop Ends,Keith Urban,20,17Gl3Bf0uPhhCkNyRwAXDd
2001,I'm Just Talkin' About Tonight,Toby Keith,20,6nN58NDV8VnjvtBmR00qq4
2001,Flavor Of The Weak,American Hi-Fi,20,5wjQihzWIKgBc1hzf5work
2001,Someone To Call My Lover,Janet,20,43zr9kKkeiQrshvYuvNtfM
2001,Schism,Tool,20,55mJleti2WfWEFNFcBduhc
2001,Just In Case,Jaheim,20,0YHBvFhfCJHyP5qfgtiX1o
2001,The Way,Jill Scott,20,3lv1Xz36O5qQca8A3uXTTj
2001,Only In America,Brooks & Dunn,20,67cCrIX2kozvxrF923cR0O
2001,I'm A Believer,Smash Mouth,20,0C9jZPUv4SuaXkuEQw6L40
2001,Can't Deny It,Fabolous Featuring Nate Dogg,20,7K4Aq4awgYvDKEJdEvvl4j
2001,I'm A Thug,Trick Daddy,20,6j2aNuhJJUnRj6UHcvn5PI
2001,Izzo (H.O.V.A.),JAY-Z,20,4h5KBcltGefua73AUPYps7
2001,Bad Day,Fuel,20,0JcNR2QhCvT7rHF3xfQye2
2001,On A Night Like This,Trick Pony,20,4ukCThz76ZkKJzTlmDlKpa
2001,I Would've Loved You Anyway,Trisha Yearwood,20,2onNmw7lzEoDRXl46jDO5O
2001,Crawling,Linkin Park,20,57BrRMwf9LrcmuOsyGilwr
2001,Turn Off The Light,Nelly Furtado,20,4gM2BugovNf4bvXdjZODzG
2002,A Thousand Miles,Vanessa Carlton,41,4w1lzcaoZ1IC2K5TwjalRP
2002,Wherever You Will Go,The Calling,37,5QpaGzWp0hwB5faV8dkbAz
2002,Blurry,Puddle Of Mudd,36,0FLBNqc5oAiTt4J2e3fe3y
2002,Wasting My Time,Default,35,3nlT74t8h4XlV1D72pErhj
2002,Gimme The Light,Sean Paul,35,5WavgurgGX48eZv1q1E3on
2002,The Middle,Jimmy Eat World,33,6GG73Jik4jUlQCkKg9JuGO
2002,How You Remind Me,Nickelback,32,0gmbgwZ8iqyMPmXefof8Yf
2002,Foolish,Ashanti,32,6zMUIb4uce1CzpbjR3vMdN
2002,Complicated,Avril Lavigne,31,5xEM5hIgJ1jjgcEBfpkt2F
2002,One Last Breath,Creed,30,42T2QQv3xgBlpQxaSP7lnK
2002,In The End,Linkin Park,29,60a0Rd6pjrkxjPbaKzXjfq
2002,Soak Up The Sun,Sheryl Crow,29,1v2ECI79z8S4PQv9xYwIfU
2002,What's Luv?,Fat Joe Featuring Ashanti,28,2mKouqwAIdQnMP43zxR89r
2002,All You Wanted,Michelle Branch,28,0kr6d8wHDQPlzuET33NVn6
2002,Heaven,DJ Sammy & Yanou Featuring Do,27,0KT6DLAELYSbgfUemzwGPX
2002,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,26,6J8vBmsokURohC3UygqYOH
2002,U Don't Have To Call,Usher,26,5PCJldueshnwqQVjS16543
2002,Hot In Herre,Nelly,26,04KTF78FFg8sOHC1BADqbY
2002,I Need A Girl (Part Two),"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",26,2fo5h8qGykQkwXBLdktENs
2002,If I Could Go!,Angie Martinez Featuring Lil' Mo & Sacario,26,1PB6gllaq5kUUSpb5jzWjn
2002,halfcrazy,Musiq,25,3oXNIpoUMdk8qGkwCeXqGv
2002,Dilemma,Nelly Featuring Kelly Rowland,25,0ARK753YaiJbpLUk7z5yIM
2002,More Than A Woman,Aaliyah,24,2Zh6XtOWdtcY6GdosPU9bF
2002,Still Fly,Big Tymers,24,563vSy3HB5NHxel1VGQCW6
2002,Nothin',N.O.R.E.,24,5ZKVNTG7yu7gbX4vryqS2X
2002,No Such Thing,John Mayer,24,6Vecwo7AHst9V2CE3kmwr0
2002,I Need A Girl (Part One),P. Diddy Featuring Usher & Loon,23,22Jb2DIMUfft9MCRsrbnCt
2002,I'm Gonna Be Alright,Jennifer Lopez Featuring Nas,23,3SHSWxOXqCrw55LiXAB8J1
2002,Happy,Ashanti,23,6CbcdeTQKj0qTaZTt0xkdk
2002,Move B***h,Ludacris Featuring Mystikal & Infamous 2.0,23,1zpGdUbIFEDJIQuGrsSrA0
2002,Po' Folks,Nappy Roots Featuring Anthony Hamilton,23,22F01qwlQDpxjPN8UQFz8n
2002,Uh Huh,B2K,22,2nBY2iQvxOIXrdlJvg7ZPo
2002,Hero,Chad Kroeger Featuring Josey Scott,22,779ooI3rBd0CLqCiiJmtVo
2002,Gangsta Lovin',Eve Featuring Alicia Keys,22,0WgLpgUdThEpA5L5K0SKq7
2002,Baby,Ashanti,22,4wHkV6OpCanrNg2PRNhWjM
2002,I Love You,Faith Evans,21,6gsmFgUiSTuinJlScwFODv
2002,Don't Let Me Get Me,P!nk,21,1BfRdnfPYrni7zj4ANodBX
2002,Oh Boy,Cam'Ron Featuring Juelz Santana,21,4X1odWLrLSSahaK6Hi15AA
