Year,Number of Weeks On Top,Spotify ID,track_name,track_artist,track_popularity,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms
2003,23,70FCugJxa7XW04Np6iYJdI,21 Questions,50 Cent,69.0,rap,0.576,0.807,-3.908,0.317,0.353,0.000363,0.908,90.012,224427.0
2003,21,6pWzCKTrKrwbUPzY8RLCoP,Rock Wit U (Awww Baby),Ashanti,64.0,r&b,0.71,0.795,-3.005,0.0593,0.409,0.0,0.852,94.997,209120.0
2003,20,2xlnEhQjSCqNPIJX42ARej,All I Have (feat. LL Cool J),Jennifer Lopez,56.0,r&b,0.699,0.668,-5.305,0.106,0.265,0.0,0.472,83.074,254467.0
2003,20,7vFv0yFGMJW3qVXbAd9BK9,Your Body Is a Wonderland,John Mayer,77.0,rock,0.647,0.729,-6.251,0.0236,0.0206,0.0489,0.687,94.01,249627.0
2003,20,2T4rXDppGlcy2lLuF4IyHq,Angel,Amanda Perez,48.0,"pop, R&B",0.638,0.54,-6.849,0.0473,0.506,0.0,0.352,143.772,218760.0
2003,20,3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,Red Hot Chili Peppers,80.0,rock,0.618,0.938,-3.442,0.0456,0.0179,0.0,0.875,91.455,269000.0
2003,20,7FrJV8tydWEv1Mxu2mIQrm,Beautiful,Snoop Dogg,64.0,rap,0.893,0.74,-4.936,0.132,0.299,0.0,0.963,101.025,299147.0
2003,20,0DcrhZ12WcCqruCs8ibXSf,I Can,Nas,0.0,rap,0.837,0.885,-3.914,0.182,0.103,0.0,0.694,95.313,253720.0
2003,20,3fjmSxt0PskST13CSdBUFx,Somewhere I Belong,Linkin Park,69.0,rock,0.451,0.951,-3.754,0.0645,0.00038,2.39e-06,0.442,162.065,213933.0
2003,20,5fztgDIt1Nq32VHJrAHq0Y,Big Yellow Taxi,Counting Crows,50.0,"rock, pop",0.669,0.873,-4.315,0.0494,0.00204,0.0,0.827,88.029,225426.0
2003,20,6B6aCxSBsECsulzOkJRxGv,If You're Not The One,Daniel Bedingfield,58.0,pop,0.688,0.538,-7.608,0.0292,0.504,0.0,0.27,119.998,257026.0
